product_id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
2838,1821,http://www.kapiteslim.com/urun/sony-xperia-z2-fiyati.aspx,Sony Xperia Z2 Cep Telefonu,93,Cep Telefonu > Sony Ericsson
2842,1618,http://www.kapiteslim.com/urun/samsung-g850-fiyati.aspx,Samsung G850 Fiyatı,9,Cep Telefonu > Samsung Fiyatları
4376,1513,"http://www.istanbulbilisim.com.tr/samsung-galaxy-alpha-g850-beyaz-cep-telefonu-fiyati,135530.html",Samsung Galaxy Alpha G850 Beyaz Cep Telefonu,9,Cep Telefonu > SAMSUNG
4936,574,http://www.birnumaram.com/Tefal-GV8930-Pro-Express-fiyatlari.html,Tefal GV8930 Pro Express Buhar Kazanlı Ütü,178,Küçük Ev Aletleri
5226,1842,"http://www.istanbulbilisim.com.tr/lg-42lb670v-led-tv-fiyati,112649.html",LG 42LB670V LED TV,70,Led Tv > LG
6127,929,http://www.escmarket.com/samsung-sm-t800-tabs-105-white-tablet-pmu1138,Samsung SM-T800 TABS 10.5 White Tablet,112,Android Tablet > Samsung Galaxy
6152,1490,http://www.alalimbakalim.com/samsung-g850-galaxy-alpha.html,Samsung G850F Galaxy Alpha Cep Telefonu,9,
6272,1144,http://www.jettekno.com/Products-24074-sapphire-4gb-r9-290x-oc-tri-x-gddr5-512-bit-11226-00-40g-hdmi-2xdvi-ati-16x.html,SAPPHIRE 4GB R9 290X OC TRI-X GDDR5 512 Bit 11226-00-40G HDMI 2xDVI ATI 16X,223,OEM > Ekran Kartları
6786,2760,http://www.worldteknoloji.com/Products-27155-apple-iphone-6-plus-bar-space-gray-8mp-55--16gb-distributor.html,Apple İphone 6 Plus Bar Space Gray 8mp 5.5 16Gb Distribütör,48,Cep Telefonları > Apple
7331,672,http://www.novabilgisayar.com/bilgi.asp?ID=10267,CORSAIR Graphite 780T Arctic White USB3.0 FULL-TOWER Pencereli Güç kaynaksız Beyaz Kasa (CC-9011059-WW ),67,KASA > CORSAIR > Graphite 780T Arctic White
7409,898,http://www.bimeks.com.tr/urun/145776/sony-xperia-m2-aqua-black.aspx,Sony Xperia M2 Aqua Black Akıllı Telefon (Smartphone),38,Dijital Yaşam > Telefon > Cep Telefonları & Smartphone > Sony Xperia M2 Aqua Black
7412,1697,http://www.bimeks.com.tr/urun/144877/samsung-galaxy-alpha-g850-black.aspx,Samsung Galaxy Alpha G850 Black Akıllı Telefon (Smartphone),9,Dijital Yaşam > Telefon > Cep Telefonları & Smartphone > Samsung Galaxy Alpha G850 Black
7917,1698,http://www.ucuzlukcu.com/urunler/samsung-galaxy-alpha-g850-akilli-cep-telefonu-ozdvq/,Samsung Galaxy Alpha G850 Akıllı Cep Telefonu,9,Telefon > Akıllı Telefonlar
8745,2085,http://www.netsiparis.com/samsung-ue-40h7000-40-102cm-smart-3d-led-tv,"Samsung UE-40H7000 40"" 102cm SMART 3D LED TV",211,Elektronik/TV > Televizyonlar > Led TV > Samsung
8921,279,http://www.hizlial.com/asus-me176cx-1b008a-7-8gb-tablet/10383558,Asus ME176CX-1B008A 7'' 8GB Tablet,186,Bilgisayar > Tablet & Aksesuarları > Tablet
8941,119,http://www.teknosa.com/urunler/110361591/sony-nwzb183b-cew-4-gb-siyah-mp3-player,SONY NWZB183B CEW 4 GB SİYAH MP3 PLAYER,249,MP3 > MP3 ÇALAR
8967,12,http://www.hizlial.com/sandisk-cruzer-switch-8gb-usb-bellek-sdcz52-008g-b35/10227066,SanDisk Cruzer Switch 8GB USB Bellek SDCZ52-008G-B35,191,Bilgisayar > Veri Depolama
9542,174,"http://www.istanbulbilisim.com.tr/ranger-hd-plus-goldmaster-receiver-en-ucuz-fiyatlari,51084.html",Goldmaster Ranger HD Plus PVR Dijital Uydu Alıcısı,53,Uydu Alıcıları > GOLDMASTER
9639,19,http://www.webdenal.com/braun-eb20-2-precision-clean-yedek_624509.html,Oral-b Eb20-2 Precision Clean Diş Fırçası Yedeği,33,Ev / Bakım > Sağlık ve Yaşam > Ağız ve Diş Sağlığı
10082,699,http://www.kliksa.com/urun/samsung-ht-h4550r-3d-bluray-ev-sinema-sistemi/902048755,SAMSUNG HT-H4550R 3D BLURAY EV SİNEMA SİSTEMİ,118,TV & Görüntü Sistemleri > Ev Sinema Sistemleri
10356,202,"http://www.istanbulbilisim.com.tr/philips-193v5lsb2-62-led-monitor-fiyati,63702.html",Philips 193V5LSB2-62 LED Monitör,156,Monitör > PHILIPS
10420,289,"http://www.istanbulbilisim.com.tr/xigmatek-cpa-070bcd-u42-700w-82plus-bronze-power-supply-fiyati,142017.html",Xigmatek CPA-070BCD-U42 700W 82Plus Bronze Power Supply,225,Power Supply > XİGMATEK
10452,218,"http://www.istanbulbilisim.com.tr/seagate-stdr1000200-2-5-1tb-backup-plus-usb-3-0-siyah-tasinabilir-fiyati,74104.html",Seagate STDR1000200 2.5 1TB Backup Plus USB 3.0 Siyah Taşınabilir Disk (HDEXT01000SEA124),116,Taşınabilir Diskler > SEAGATE
10741,545,http://www.webdenal.com/tefal-gv8930-pro-express_584408.html,Gv 8930 Pro Express Buhar Jeneratörlü Ütü,178,Ev / Bakım > Ütü Grubu > Buhar Tanklı Ütü
10770,11,"http://www.istanbulbilisim.com.tr/sdcz52-008g-b35-sandisk-flash-bellek-en-ucuz-fiyatlari,45943.html","SANDISK SDCZ52-008G-B35 8GB USB 2.0, Swich, Flash Bellek",191,Flash Bellek > SANDISK
10930,199,http://www.ucuzlukcu.com/urunler/pc-dragon-age-inquisition-cxtbu/,PC DRAGON AGE INQUISITION,170,Bilgisayar > Yazılım Ürünleri > Oyunlar > Bilgisayar Oyunları
10931,199,http://www.ucuzlukcu.com/urunler/psx3-dragon-age-inquisition-mnkga/,PSX3 DRAGON AGE INQUISITION,21,Bilgisayar > Yazılım Ürünleri > Oyunlar > PlayStation 3 Oyunları
11056,215,http://www.webdenal.com/philips-gc4860-37_731976.html,Gc4860/37 Azur Buharlı Ütü,145,Ev / Bakım > Ütü Grubu > Ütü
11242,340,http://www.hizlial.com/fakir-rh-12-halojen-3000w-12-dilim-yagli-radyator/10226310,Fakir RH-12 Halojen 3000W 12 Dilim Yağlı Radyatör,183,Isıtma & Soğutma > Sobalar ve Isıtıcılar
11350,1553,http://www.pcdepo.com/lenovo-ideapad-z5070-59-424576-notebook,Lenovo İdeapad Z5070 59 424576 Notebook,120,Lenovo İdeapad Z5070 59 424576 Notebook
11368,1299,http://www.hizlial.com/canon-eos-600d-18-55mm-dc-lens-dslr-fotograf-makinesi/10159465,Canon EOS 600D 18-55mm DC Lens DSLR Fotoğraf Makinesi,260,Foto & Kamera > Fotoğraf Makinesi ve Kameralar
11605,2449,http://www.teknosa.com/urunler/110015225/samsung-ue48h6270-smart-fhd-3d-dvb-s-led-lcd-tv-2,SAMSUNG UE48H6270 SMART FHD 3D DVB-S LED LCD TV + 2 Gözlük,87,SES VE GÖRÜNTÜ > TELEVİZYONLAR > LED TV
11753,1599,http://www.ereyon.com.tr/urun/samsung-galaxy-alpha.aspx,Samsung G850 Galaxy Alpha,9,Telefonlar > Akıllı Telefonlar
11936,971,http://www.netsiparis.com/samsung-galaxy-tab-s-t800-105-wifi-beyaz,"Samsung Galaxy Tab S T800 10.5"" WiFi Beyaz",112,Bilgisayar > Bilgisayar-Dizüstü > Tabletler > Samsung
12272,62,http://www.webdenal.com/everest-ewn-689n_608057.html,Ewn-689n 300 Mbps Usb Kablosuz Adaptör,204,Bilgisayar Ürünleri > Network / Modem > Kablosuz Adaptör / Anten
12301,1008,http://www.webdenal.com/samsung-galaxy-tab-s-t800-sm-t800nzwatur_708202.html,"Galaxy Tab S T800 Sm-t800nzwatur Exynos 5420 Octacore 3 Gb 16 Gb 10.5"" Android 4.4 Beyaz",112,Bilgisayar > Tablet
12304,321,http://www.webdenal.com/asus-me176cx-1a008a_696945.html,"Me176cx-1a008a Quad Core 1 Gb 8 Gb 7"" Android 4.4",186,Bilgisayar > Tablet
12594,1799,http://www.hizlial.com/lenovo-z5070-59424576-i5-4210u-17ghz-8gb-1tb8gbsshd-2gb-gt820m-156-windows-81-notebook/10401484,"LENOVO Z5070 59424576 i5-4210U 1.7GHz 8GB 1TB(8GBSSHD) 2GB GT820M 15.6"" Windows 8.1 Notebook",120,Bilgisayar > Taşınabilir Bilgisayarlar
12662,69,http://www.hizlial.com/creative-sbs-a120-21-siyah-9-watt-rms-hoparlor/10249424,Creative SBS A120 2.1 Siyah 9 Watt RMS Hoparlör,25,Bilgisayar > Çevre Birimleri > Hoparlörler
12670,49,http://www.hizlial.com/logitech-mk240-wireless-desktop-siyah-klavye-mouse-set-920-005789/10288045,Logitech MK240 Wireless Desktop Siyah Klavye Mouse Set (920-005789),179,Bilgisayar > Çevre Birimleri > Klavye Mouse Setler
12680,39,http://www.hizlial.com/logitech-m317-wireless-mouse-silver-910-004183/10494256,Logitech M317 Wireless Mouse Silver (910-004183),55,Bilgisayar > Çevre Birimleri > Mouse
13078,1699,http://www.gold.com.tr/samsung-galaxy-alpha-g850fq-beyaz-cep-telefonu_u,Samsung Galaxy Alpha G850FQ Beyaz Cep Telefonu,9,Telefon > Cep Telefonu > Akıllı Telefonlar
13123,199,http://www.hizlial.com/goldmaster-rangerplus-hdusb-oynaticili-ethernet-girisli-pvr-dijital-uydu-alicisi/10001188,Goldmaster RANGERPlus HD/USB Oynatıcılı/ Ethernet Girişli PVR Dijital Uydu Alıcısı,53,Ev Elektroniği & TV > Ses & Görüntü Sistemleri > Uydu Alıcıları & Sistemleri > Uydu Alıcıları
13451,497,http://www.webdenal.com/panasonic-v100_624602.html,Hc-v100 Akıllı 42x Zoom Full Hd Video Kamera,107,Fotoğraf / Elektronik > Video Kamera
14130,139,http://www.gold.com.tr/logitech-g230-981-000540-gaming-headset_u,Logitech G230 981-000540 Gaming Headset,212,Oyun - Hobi > Oyun > Oyun Aksesuarları > Oyun Kulaklık
14249,18,"http://www.istanbulbilisim.com.tr/s-link-slx-301-hdmi-to-hdmi-1-5m-altin-uclu-24k-kor-kilif-1-4-fiyati,144438.html",S-link SLX-301 HDMI TO HDMI 1.5m Altın Uçlu 24K + Kor.Kılıf 1.4 Ver. 3D Kablo,176,Antenler / Kablolar > S-Link
14326,137,"http://www.istanbulbilisim.com.tr/apple-ipod-shuffle-2gb-mor-mp3-mp4-player-md777tz-a-fiyati,111498.html",Apple iPod Shuffle 2GB Mor MP3/MP4 Player (MD777TZ/A),184,Müzik Çalar > APPLE
15014,123,http://www.eksenbilgisayar.com/urun/kingston-hyperx-savage-4gb-ddr3-1600mhz-bellek---hx316c9sr4.aspx,KINGSTON HyperX Savage 4GB DDR3-1600MHz Bellek - HX316C9SR/4,146,Bilgisayar Bileşenleri > Bellek > Masaüstü
15063,44,http://www.webdenal.com/philips-shl3000bl-10_568613.html,Shl3000bl/10 Tamboy Mavi,266,Fotoğraf / Elektronik > Kulaklık > Tam Boy Kulaklık
15532,239,http://www.hizlial.com/philips-gc-486037-azur-2600w-buharli-utu/10249206,Philips GC-4860/37 Azur 2600W Buharlı Ütü,145,Beyaz Eşya & Elektrikli Ev Aletleri > Elektrikli Ev Aletleri > Ütüler
15625,228,http://www.vatanbilgisayar.com/1200va-line-interactive-ups.html,POWERSONIC 1200VA LINE INTERACTIVE UPS,236,Çevre Birimleri > Kesintisiz Güç Kaynakları > Line İnteractive > POWERSONIC
15883,1701,http://www.webdenal.com/sony-xperia-z2-16gb-beyaz_697880.html,Xperıa Z2 16gb 20.7mp Full Hd Beyaz,93,Telefon > Cep Telefonu
16076,278,http://www.ereyon.com.tr/urun/western-digital-wdbluz0010bsl-eesn.aspx,"Western Digital WDBLUZ0010BSL My Passport For Mac 2.5"" 1Tb Taşınabilir Disk",222,"Bilgisayar > Veri Depolama > Taşınabilir Diskler > 2.5"" Diskler"
16193,340,http://www.vatanbilgisayar.com/airties-air-5750-300mbps-867mbps-vdsl2-kablosuz-ac-4-port-adsl2-modem.html,AIRTIES AIR 5750 300MBPS-867MBPS VDSL2 KABLOSUZ-AC 4 PORT ADSL2+ MODEM,76,Network Ürünleri > Modemler > Kablosuz ADSL Modemler > AIRTIES
16870,46,"http://www.istanbulbilisim.com.tr/everest-tk-5-lcd-led-slim-aski-aparati-fiyati,108357.html",Everest TK-5 Lcd-Led Slim Askı Aparatı,165,Tv Aksesuar > Everest
16873,8,"http://www.istanbulbilisim.com.tr/s-link-slx-590-rg6-u-2m-anten-kablosu-fiyati,144441.html",S-link SLX-590 RG6 /U 2m Anten Kablosu,63,Tv Aksesuar > S-LINK
16973,368,http://www.pcdepo.com/asus-me176cx-1b008a-tablet-pc,Asus ME176CX-1B008A Tablet Pc,186,Asus ME176CX-1B008A Tablet Pc
16977,1613,http://www.pcdepo.com/apple-ipad-air-mh182tu-a-wi-fi-64gb-gold-tablet-pc,Apple iPad Air MH182TU/A Wi-Fi 64GB Gold Tablet PC,246,Apple iPad Air MH182TU/A Wi-Fi 64GB Gold Tablet PC
17016,55,"http://www.istanbulbilisim.com.tr/casio-dj-220d-masaustu-hesap-makinesi-fiyati,121863.html",Casio DJ-220D Masaüstü Hesap Makinesi,218,Hesap Makineleri > Casio
17197,2799,http://www.teknosa.com/urunler/135175654/nikon-d7000-18-105mm-vr-kit-dijital-fotograf-makin,NIKON D7000 18-105MM VR KIT DİJİTAL FOTOĞRAF MAKİNESİ,242,FOTOĞRAF &AMP; VİDEO KAMERA > DİJİTAL SLR FOTOĞRAF MAKİNESİ
17198,1499,http://www.teknosa.com/urunler/135176050/canon-eos-600d-18-55mm-dc-kit-dijital-fotograf-mak,CANON EOS 600D + 18-55MM DC KİT DİJİTAL FOTOĞRAF MAKİNESİ,260,FOTOĞRAF &AMP; VİDEO KAMERA > DİJİTAL SLR FOTOĞRAF MAKİNESİ
17241,2887,http://www.webdenal.com/apple-iphone-6-plus-16-gb_718079.html,Iphone 6 Plus 16 Gb Dual Core 1.4 Ghz Renk Seçeneklerini Sorunuz,48,Telefon > Cep Telefonu
17358,2278,"http://www.istanbulbilisim.com.tr/nikon-dslr-d7000-slr-18-105-mm-vr-lens-kit-fotograf-makinesi-fiyati,26639.html",Nikon DSLR D7000 Slr + 18-105 MM VR Lens Kit Fotoğraf Makinesi,242,Slr Fotoğraf Makinesi > NIKON
17852,205,http://www.gold.com.tr/seagate-stdr1000201-bplus-slim-gumus-tasinabilir-disk_u,"Seagate STDR1000201 BPlus Slim Gümüş Taşınabilir Disk - 1TB 2,5inc 3.0",116,Bilgisayar > Veri Depolama > Taşınabilir Disk
17909,18,"http://www.istanbulbilisim.com.tr/snopy-sg-650-usb-siyah-joystick-fiyati,109514.html",Snopy SG-650 USB Siyah Joystick,269,Oyun Konsolları > SNOPY
18068,140,http://www.exa.com.tr/zalman/fan_ve_sogutucular/zalman_cnps11x-335-19108.html,Zalman CNPS11X Performa Intel/AMD CPU Soğutucu,203,Bilg.Parçaları > Fan ve Soğutucular
18077,42,http://www.kliksa.com/urun/transcend-premium-uhs-i-16gb-u1-45mbs-300x-micro-sdhc-adaptorlu-hafiza-karti/901987264,TRANSCEND PREMIUM UHS-I 16GB U1 45MB/s (300X) MICRO SDHC ADAPTORLU HAFIZA KARTI,273,Telefon > Telefon Hafıza Kartları
18157,1217,http://www.sanalreyonum.com/fotograf-kamera/canon-eos-600d-18-55-dc-kit-dslr-fotograf-makinesi.html,CANON EOS 600D 18-55 DC Kit DSLR Fotoğraf Makinesi,260,
18831,1041,http://www.netsiparis.com/canon-i-sensys-mf6140dn-yazici-tarayici-fotokopi-faks,Canon i-Sensys MF6140dn Yazıcı Tarayıcı Fotokopi Faks,18,Bilgisayar > Bilgisayar Parçaları > Yazıcı / Tarayıcı > Çok Fonksiyonlu > Canon
19058,30,http://www.vatanbilgisayar.com/tk150-duvar-tipi-telefon---siyah.html,TK150 DUVAR TİPİ TELEFON - (SİYAH),32,Tüketici Elektroniği > Kablolu Telefonlar > Görüntüsüz > TTEC
19064,39,http://www.vatanbilgisayar.com/tk6109-masaustu-telefon--metalik-gri_gumus.html,TK6109 MASAÜSTÜ TELEFON- (METALİK GRİ/GÜMÜŞ),81,Tüketici Elektroniği > Kablolu Telefonlar > Görüntülü > TTEC
19165,3106,http://www.webdenal.com/nikon-d7000_697685.html,"Camera-d7000-kıt Dslr Fotoğraf Makinesi 16.2 Mp 3"" Lcd Ekran + 18-105mm Vr Lens Kitli",242,Fotoğraf / Elektronik > SLR Fotoğraf Makinesi
19172,1284,http://www.webdenal.com/canon-eos600d_598887.html,Eos 600d 18mp 18-55 Dc Lens Kit Full Hd Dijital Slr,260,Fotoğraf / Elektronik > SLR Fotoğraf Makinesi
20701,134,http://www.webdenal.com/logitech-g230-981-000540_632992.html,G230 Kablolu Oyuncu Kulaklığı 981-000540,212,Fotoğraf / Elektronik > Kulaklık > Tam Boy Kulaklık
20893,29,http://www.webdenal.com/ttec-tk150-masa-ustu-duvar-tipi-telefon-siyah_439141.html,Tk150 Masa Üstü / Duvar Tipi Telefon Siyah,32,Telefon > Kablolu Telefon
20938,299,http://www.vatanbilgisayar.com/asus-me176cx-intel-atom-z3740-133ghz-1gb-ram-8-gb-disk-7-cam-and44.html,ASUS ME176CX İNTEL ATOM Z3745 1.86GHZ-1GB RAM-8 GB DİSK-7''-CAM-AND.4.4,186,Bilgisayar > Tablet > ASUS
21002,1308,"http://www.istanbulbilisim.com.tr/hp-pavilion-k0w08ea-convertible-ultrabook-fiyati,144563.html",Hp Pavilion K0W08EA Convertible Ultrabook,36,Ultrabook > HP
21414,227,http://www.netsiparis.com/philips-19-5inc-203v5lsb26-62-led-5ms-siyah-d-sub,"PHILIPS 19,5inç 203V5LSB26/62 LED 5MS SİYAH D-SUB",31,Bilgisayar > Bilgisayar Parçaları > Monitör > Led Monitörler > Philips
21428,1099,http://www.kliksa.com/urun/samsung-sm-t800-tab-s-105-16gb-beyaz-tablet/902170877,Samsung SM-T800 Tab S 10.5 16GB Beyaz Tablet,112,Bilgisayar > Tablet PC
21489,249,http://www.deveyuku.com/urun/fakir-rh-12-halojenli-12-dilim-yagli-radyator_52300.aspx,Fakir RH-12 Halojenli 12 Dilim Yağlı Radyatör,183,Yağlı Radyatörler > Resim > Fakir > Fakir RH-12 Halojenli 12 Dilim Yağlı Radyatör
21897,62,http://www.pcdepo.com/logitech-mk240-kablosuz-klavye-mouse-920-005798,Logitech MK240 Kablosuz Klavye Mouse 920-005798,179,Logitech MK240 Kablosuz Klavye Mouse 920-005798
22404,5999,http://www.hizlial.com/samsung-ue-55hu7500-55-inc-140cm-1000hz-quad-core-wifi-uydu-alicili-smart-3d-4k-uhd-led-tv/10376211,Samsung UE-55HU7500 55 İnç 140Cm 1000Hz Quad Core WIFI Uydu Alıcılı SMART 3D 4K UHD LED TV,152,Ev Elektroniği & TV > Televizyon & Aksesuarları > Televizyonlar
22473,169,http://www.ucuzlukcu.com/urunler/pc-battlefield-4-premium-edition-fxteu/,PC BATTLEFIELD 4 PREMIUM EDITION,97,Bilgisayar > Yazılım Ürünleri > Oyunlar > Bilgisayar Oyunları
22474,159,http://www.ucuzlukcu.com/urunler/pc-world-of-warcraft-warlords-of-draenor-obfna/,PC WORLD OF WARCRAFT WARLORDS OF DRAENOR,128,Bilgisayar > Yazılım Ürünleri > Oyunlar > Bilgisayar Oyunları
23174,20,http://www.vatanbilgisayar.com/pc-dishonored.html,PC DISHONORED,232,Yazılım > Oyunlar > PC > ARAL
23448,236,http://www.vatanbilgisayar.com/philips-195-203v5lsb-genis-ekran-led-monitor.html,"PHILIPS 19,5"" 203V5LSB GENİŞ EKRAN LED MONİTÖR",31,OEM Ürünleri > Monitörler > Geniş Ekran > PHILIPS
23483,218,http://www.vatanbilgisayar.com/philips-185-193v5lsb2_62-genis-ekran-led-monitor.html,"PHILIPS 18.5"" 193V5LSB2/62 GENİŞ EKRAN LED MONİTÖR 193V5LSB2/62",156,OEM Ürünleri > Monitörler > Geniş Ekran > PHILIPS
23699,706,http://www.webdenal.com/sony-hdr-cx240eb_718589.html,"Hdr-cx240eb Cmos 9.2mp 27xoz 2.7"" 29.8mm Cz 60p",19,Fotoğraf / Elektronik > Video Kamera
23702,6770,http://www.webdenal.com/sony-nex-vg30eh-b_586976.html,Nex-vg30eh/b Full Hd Video Kamera,254,Fotoğraf / Elektronik > Video Kamera
24101,31,http://www.deveyuku.com/urun/frisby-fhc-2530s-25-sata-usb-30-95mm-hd_153665.aspx,FRISBY FHC-2530S 2.5 SATA USB 3.0 9.5MM HD,130,Hardiskler > Resim > Frisby > FRISBY FHC-2530S 2.5 SATA USB 3.0 9.5MM HD
24204,1324,http://www.netsiparis.com/hp-pavilion-11-n000nt-k0w08ea-notebook,HP Pavilion 11-n000nt K0W08EA Notebook,36,Bilgisayar > Bilgisayar-Dizüstü > Notebooklar > Hp
24279,1499,http://www.vatanbilgisayar.com/canon-600d-dc-18-mp-30-lcd-ekran-slr-dijital-fotograf-makinesi.html,"CANON 600D DC 18 MP 3,0"" LCD EKRAN SLR DIJITAL FOTOĞRAF MAKİNESİ 600D 18-55 DC",260,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital SLR > CANON
24283,1399,http://www.vatanbilgisayar.com/d3200-18-55-vr-55-200-vr.html,"NIKON D3200 18-55 VR II 24.2 MP 3"" LCD EKRAN SLR DIJITAL FOTOĞRAF MAKİNESİ",149,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital SLR > NIKON
24842,790,"http://www.istanbulbilisim.com.tr/sony-xperia-m2-dual-siyah-cep-telefonu-fiyati,122915.html",Sony Xperia M2 Dual Siyah Cep Telefonu,38,Cep Telefonu > SONY
24878,269,http://www.vatanbilgisayar.com/coolpix-s2800-27-inc-ekran-dijital-kompakt-fotograf-makinesisiyah.html,"NIKON COOLPIX S2800 2,7 İNÇ EKRAN DİJİTAL KOMPAKT FOTOĞRAF MAKİNESİ(SİYAH)",117,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital Kompakt > NIKON
25026,2699,http://www.vatanbilgisayar.com/nikon-d7000-vr-kit-18-105-vr-lens-162-mp-3-lcd-slr-dijital-fotograf-makinesi.html,"NIKON D7000 VR KIT (18-105 VR Lens) 16.2 MP 3"" LCD SLR DIJITAL FOTOGRAF MAKINESI",242,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital SLR > NIKON
25155,484,http://www.vatanbilgisayar.com/samsung-250gb-850-evo-sata-30-okuma-540mb-yazma-520mb-ssd.html,SAMSUNG 250GB 850 EVO SATA 3.0 (Okuma 540MB / Yazma 520MB) SSD MZ-75E250BW,69,OEM Ürünleri > Solid State Disk > SAMSUNG
25227,10,http://www.bimeks.com.tr/urun/120553/sandisk-8-gb-usb-cruzer-switch-sdcz52-008g-b35-.aspx,Sandisk 8 GB USB Cruzer Switch (SDCZ52-008G-B35),191,Bilgi Teknolojileri > Çevre Birimi > USB Bellek > Sandisk 8 GB USB Cruzer Switch (SDCZ52-008G-B35)
25429,1975,http://www.bedavacim.com.tr/Samsung-40H7000-LED-TV_16324.html,Samsung UE-40H7000 600hz 102 Ekran QuadCore Smart 3D LED TV,211,Televizyon > LED Televizyon > Samsung Led Tv
25629,238,http://www.deveyuku.com/urun/195-philips-203v5lsb26-5ms-siyah-led-monitor_153929.aspx,19.5 PHILIPS 203V5LSB26 5MS SİYAH LED MONİTÖR,31,Monitörler > Resim > Philips > 19.5 PHILIPS 203V5LSB26 5MS SİYAH LED MONİTÖR
25631,213,http://www.deveyuku.com/urun/185-philips-193v5lsb262-5ms-siyah-led-monitor_153927.aspx,18.5 PHILIPS 193V5LSB262 5MS SİYAH LED MONİTÖR,156,Monitörler > Resim > Philips > 18.5 PHILIPS 193V5LSB262 5MS SİYAH LED MONİTÖR
26079,1299,http://www.vatanbilgisayar.com/hp-pavilion-11-n00nt-x360-pentium-n3540-216ghz-4gb-750gb-116-int-w8-notebook.html,"HP PAVILION 11-N00NT X360 PENTIUM N3540 2.16GHZ-4GB-750GB-11.6""-INT-W8 NOTEBOOK",36,Bilgisayar > Notebook > 2’si 1 Arada > HP
26085,1999,http://www.vatanbilgisayar.com/lenovo-z5070-core-i5-4210u-17ghz-8gb-1tbsshdd-156-2gb-w81-notebook.html,LENOVO Z5070 CORE İ5 4210U 1.7GHZ-8GB-1TBSSHDD-15.6''-2GB -W8.1 NOTEBOOK 59-424576,120,Bilgisayar > Notebook > LENOVO
26156,2513,http://www.bedavacim.com.tr/Nikon-D7000-8-GB-HAFIZA-KARTI-cANTA-HEDiYELi-18-105mm-VR-Lens_13833.html,Nikon D7000 + 8 GB HAFIZA KARTI + ÇANTA HEDİYELİ +18-105mm VR Lens,242,Fotoğraf-Kamera > SLR Fotoğraf Makineleri
26203,1079,http://www.bimeks.com.tr/urun/144062/samsung-galaxy-tab-4s-sm-t800-10-5--tablet-pc-beyaz.aspx,"Samsung Galaxy Tab 4S SM-T800 10,5'' Tablet Pc Beyaz Android 4.4 KitKat Tablet PC",112,"Bilgi Teknolojileri > Bilgisayarlar > Tablet > Samsung Galaxy Tab 4S SM-T800 10,5'' Tablet Pc Beyaz"
26506,1150,http://www.sanalreyonum.com/bilgisayar/yazicilar/canon-mf6140dn-lazer-yazicitarfotfax-a4.html,Canon MF6140DN Lazer Yazıcı/Tar/Fot/Fax - A4,18,
26622,44,http://www.gold.com.tr/philips-shl3000bl-10-mavi-kafa-bantli-kulaklik_u,Philips SHL3000BL/10 Mavi Kafa Bantlı Kulaklık,266,Bilgisayar > Çevre Birimleri > Kulaklık
