id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
10,195,http://www.hizlial.com/hp-deskjet-2645-ink-advantage-faksfotokopitarayiciyazici-d4h22c/10324237,HP Deskjet 2645 Ink Advantage Faks/Fotokopi/Tarayıcı/Yazıcı D4H22C,40,Bilgisayar > Yazıcı & Sarf Malzemeleri > Yazıcılar > Mürekkep Püskürtmeli
11,524,http://www.ereyon.com.tr/urun/asus-dsl-ac68u-router.aspx,Asus DSL-AC68U Çift Bant Kablosuz-AC1900 Gigabit ADSL/VDSL Modem Router,142,Bilgisayar > Ağ Ürünleri & Modem > Access Point & Router
12,119,http://www.teknosa.com/urunler/110361591/sony-nwzb183b-cew-4-gb-siyah-mp3-player,SONY NWZB183B CEW 4 GB SİYAH MP3 PLAYER,249,MP3 > MP3 ÇALAR
13,8999,http://www.kliksa.com/urun/lg-65ub980v-4k-uhd-dvb-s2t2c-3d-smart-led-tv-2-gozluk/902100089,LG 65UB980V 4K UHD DVB-S2/T2/C 3D SMART LED TV + 2 GÖZLÜK,75,TV & Görüntü Sistemleri > Televizyon
14,12,http://www.ereyon.com.tr/urun/s-link-slx-300-1.8m-notebook-power-kablo.aspx,S-link SLX-300 1.8m Notebook Power Kablo,208,Bilgisayar > Bilgisayar Aksesuarları > Kablolar
15,1799,http://www.hizlial.com/lenovo-z5070-59424576-i5-4210u-17ghz-8gb-1tb8gbsshd-2gb-gt820m-156-windows-81-notebook/10401484,"LENOVO Z5070 59424576 i5-4210U 1.7GHz 8GB 1TB(8GBSSHD) 2GB GT820M 15.6"" Windows 8.1 Notebook",120,Bilgisayar > Taşınabilir Bilgisayarlar
16,148,http://www.telepanya.com/asp/product/90747/Logitech-G230-981-000540-Kulaklik,Logitech G230 981-000540 Kulaklık,212,Bilgisayarlar > Çevre Birimleri > Kulaklık & Mikrofon > Mikrofonlar > LOGITECH
17,484,http://www.vatanbilgisayar.com/samsung-250gb-850-evo-sata-30-okuma-540mb-yazma-520mb-ssd.html,SAMSUNG 250GB 850 EVO SATA 3.0 (Okuma 540MB / Yazma 520MB) SSD MZ-75E250BW,69,OEM Ürünleri > Solid State Disk > SAMSUNG
18,1299,http://www.bimeks.com.tr/urun/128490/canon-eos-600d-18-55mm-dc-kit-.aspx,Canon EOS 600D 18-55mm DC Kit,260,Dijital Yaşam > SLR Fotoğraf Makinesi > Canon EOS 600D 18-55mm DC Kit
19,18,"http://www.istanbulbilisim.com.tr/s-link-slx-301-hdmi-to-hdmi-1-5m-altin-uclu-24k-kor-kilif-1-4-fiyati,144438.html",S-link SLX-301 HDMI TO HDMI 1.5m Altın Uçlu 24K + Kor.Kılıf 1.4 Ver. 3D Kablo,176,Antenler / Kablolar > S-Link
20,2999,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-355416&Apple-iPhone-6-Plus-16GB,Apple iPhone 6 Plus 16GB,48,Telefon >  Cep Telefonları >  Cep Telefonu & Smartphone >  Smartphone
21,696,http://www.dijitall.com/sony--cmos-9.2mp-27xoz-2.7-29.8mm-cz-60p-hdr-cx240eb,"SONY CMOS 9.2MP 27XOZ 2.7"" 29.8mm CZ 60p HDR-CX240EB",19,Fotoğraf - Video > Video Kamera
22,1463,"http://www.istanbulbilisim.com.tr/sony-xperia-z2-beyaz-cep-telefonu-fiyati,118147.html",Sony Xperia Z2 Beyaz Cep Telefonu,93,Cep Telefonu > SONY
23,1039,http://www.bedavacim.com.tr/CANON-MF6140DN-LAZER-C387OK-FONK-YAZ-TAR-FOT-FAX-A4_18544.html,CANON MF6140DN LAZER ÇOK FONK. YAZ/TAR/FOT/FAX - A4,18,Bilgisayar > Yazici > Lazer Yazıcılar
24,115,http://www.teknolojiankara.com/Products-URUN2081703-pioneer-ts-g132ci-oto-hoparl214r220.html,PIONEER TS-G132Ci OTO HOPARLÖRÜ,83,Oto Ses Görüntü > Oto Hoparlörü > PIONEER
25,64,http://www.teknosa.com/urunler/125044321/belkin-f8n754cwc02-case-folio-pepu-ipad-3g-slim-ki,BELKIN F8N754cwC02 CASE FOLIO PE/PU IPAD 3G SLIM KILIF,52,BİLGİSAYAR > TABLET PC AKSESUARI
26,2278,"http://www.istanbulbilisim.com.tr/nikon-dslr-d7000-slr-18-105-mm-vr-lens-kit-fotograf-makinesi-fiyati,26639.html",Nikon DSLR D7000 Slr + 18-105 MM VR Lens Kit Fotoğraf Makinesi,242,Slr Fotoğraf Makinesi > NIKON
27,1935,http://www.exa.com.tr/apple/masaustu_bilgisayarlar/apple_mac-322-23900.html,Apple Mac Mini MGEN2TU/A i5 2.6GHz 8GB 1TB,29,Bilgisayar > Masaüstü Bilgisayarlar
28,243,http://www.hizlial.com/xigmatek-ccc-ae37bs-u51-asgard-pro-500w-siyah-usb-30-212cm-fan-kasa/10539030,Xigmatek CCC-AE37BS-U51 ASGARD PRO 500W Siyah Usb 3.0 2*12cm Fan Kasa,44,Bilgisayar > Bilgisayar Bileşenleri > Kasalar
29,59,http://www.dijitall.com/store/ProductDetails.aspx?productid=237210,EVEREST 300 Mbps Usb Kablosuz Adaptör EWN-689N,204,Bilgisayar > Wireless & Ağ Ürünleri
30,249,http://www.teknosa.com/urunler/135176367/case-logic-flxm102m-kahverengi-dslr-ipad-cantasi,CASE LOGIC FLXM102M KAHVERENGİ DSLR + IPAD ÇANTASI,167,FOTOĞRAF &AMP; VİDEO KAMERA > ÇANTA VE TRİPOD > ÇANTA
31,1008,http://www.webdenal.com/samsung-galaxy-tab-s-t800-sm-t800nzwatur_708202.html,"Galaxy Tab S T800 Sm-t800nzwatur Exynos 5420 Octacore 3 Gb 16 Gb 10.5"" Android 4.4 Beyaz",112,Bilgisayar > Tablet
32,41,http://www.extraucuzluk.com/urun/ms-mobile-3000-nano-mouse-siyah-usb-2ef-00003_134609.aspx?CatId=176,MS MOBILE 3000 NANO MOUSE SİYAH USB 2EF-00003,133,Bilgisayar > Bilgisayar Bileşenleri > Mouse
33,81,"http://www.istanbulbilisim.com.tr/fsp-nb65-65w-notebook-universal-adaptor-fiyati,141779.html",Fsp NB65 65W Notebook Universal Adaptör,215,Notebook Aksesuarları > Notebook Adaptörleri
34,292,http://www.telepanya.com/asp/product/86558/Nikon-CoolPix-S2800-Dijital-Fotograf-Makinasi,Nikon CoolPix S2800 Dijital Fotoğraf Makinası,117,Fotoğraf & Kamera > Compact Foto Mak. > NIKON
35,44,http://www.gold.com.tr/frisby-fk-w98qu-kablosuz-klavye-mouse-set_u,Frisby FK-W98QU Kablosuz Klavye Mouse Set,77,Bilgisayar > Çevre Birimleri > Klavye Mouse Set
36,27,http://www.deveyuku.com/urun/s-link-sl-hv56-hdmi-to-vga-cevirici_163413.aspx,S-LINK SL-HV56 HDMI TO VGA ÇEVİRİCİ,263,Tüketim Malzemeleri > Resim > SLINK > S-LINK SL-HV56 HDMI TO VGA ÇEVİRİCİ
37,488,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-366346&Corsair-Force-GS-240-GB-SSD-Disk-CSSD-F240GBGS-BK,Corsair Force GS 240 GB SSD Disk CSSD-F240GBGS-BK,197,Bilgisayar >  Veri Depolama >  SSD (Solid State Drive)
38,8549,http://www.webdensiparis.com/urun/lg-65ub980v-65-inc-165-cm-ekran-ultra-hd-4k-3d-smart-tv-led-televizyon_1148273.aspx?CatId=8554,LG 65UB980V 65 inç 165 cm Ekran Ultra HD 4K 3D Smart Tv LED Televizyon,75,Elektronik ve Televizyon > 3D Led Televizyon
39,32,http://www.webdenal.com/addison-300897-13-3-gri-bilgisayar-notebook-cantas_700689.html,300897 13.3 Gri Bilgisayar Notebook Çantas,163,Bilgisayar Ürünleri > Aksesuarlar > Laptop Çanta ve Kılıf
40,65,http://www.dijitall.com/store/ProductDetails.aspx?productid=230909,"CREATIVE 9W RMS, 2+1,Ahşap Subwoofer Speaker,Siyah CREA-A120",25,Bilgisayar > Hoparlörler
41,22,http://www.bilisimport.com/s-link-slx-301-hdmi-to-hdmi-1.5m-altin-uclu-24k--kor.kilif-1.4-ver.-3d-kablo,S-link SLX-301 HDMI TO HDMI 1.5m Altın Uçlu 24K + Kor.Kılıf 1.4 Ver. 3D Kablo,176,Aksesuar & Sarf Malz. > Kablolar > HDMI Kabloları
42,17,http://www.teknosa.com/urunler/125191296/inca-iwm-221rsk-kirmizi-wireless-nano-mouse,INCA IWM-221RSK KIRMIZI WIRELESS NANO MOUSE,278,BİLGİSAYAR > ÇEVRE BİRİMLERİ > MOUSE VE MOUSEPAD
43,43,http://www.eksenbilgisayar.com/urun/logitech-m317-kablosuz-usb-gumus-mouse---910-004183.aspx,LOGITECH M317 Kablosuz USB Gümüş Mouse - 910-004183,55,Çevre Birimler > Mouse
44,11,http://www.bilisimport.com/s-link-slx-300-1.8m-notebook-power-kablo,S-link SLX-300 1.8m Notebook Power Kablo,208,Aksesuar & Sarf Malz. > Kablolar > Power Kabloları
45,99,http://www.webdenal.com/hp-c4906a_163490.html,C4906ae Mürekkep Kartuş Siyah (940xl),172,Bilgisayar Ürünleri > Tüketim Malzemeleri > Kartuş
46,1818,http://www.jettekno.com/Products-25906-lg-42lb670v-42-106-ekran-700hz-2-gozluk-full-hd-3d-led-smart-tv-uydu.html,LG 42LB670V 42 106 Ekran 700Hz +2 Gözlük Full HD 3D Led Smart TV Uydu,70,Elektronik > Televizyonlar
47,62,http://www.ereyon.com.tr/urun/logitech-mk240-wireless-set-klavye-920005789.aspx,Logitech Mk240 Wireless Set Klavye 920-005789,179,Bilgisayar > Çevre Birimleri > Klavye & Mouse > Klavye & Mouse Set
48,71,http://www.bilisimport.com/fsp-nb65-65w-notebook-universal-adaptor,Fsp NB65 65W Notebook Universal Adaptör,215,Aksesuar & Sarf Malz. > Adaptör & Şarj Cihazı > Notebook Adaptör
49,228,http://www.vatanbilgisayar.com/1200va-line-interactive-ups.html,POWERSONIC 1200VA LINE INTERACTIVE UPS,236,Çevre Birimleri > Kesintisiz Güç Kaynakları > Line İnteractive > POWERSONIC
50,34,http://www.vatanbilgisayar.com/eps-1460a-230w-guc-kaynagi.html,EVEREST EPS-1460A 230W GÜÇ KAYNAĞI,99,OEM Ürünleri > Güç Kaynakları > EVEREST
51,169,http://www.ucuzlukcu.com/urunler/pc-battlefield-4-premium-edition-fxteu/,PC BATTLEFIELD 4 PREMIUM EDITION,97,Bilgisayar > Yazılım Ürünleri > Oyunlar > Bilgisayar Oyunları
52,468,http://www.sanalreyonum.com/bilgisayar/gigabyte-z97x-gaming-5ddr3-1600mhz-svgl16x.html,Gigabyte Z97X-Gaming 5/DDR3 1600MHz S+V+GL+16X,126,
53,1585,http://www.incehesap.com/samsung-g850f-galaxy-alpha-beyaz-fiyati-25702/,Samsung G850F Galaxy Alpha Beyaz Cep Telefonu,9,Telefon > Cep Telefonu
54,67,http://www.extraucuzluk.com/urun/creative-sbs-a120-21-9w-rms-hoparlor-siyah_134077.aspx?CatId=163,CREATIVE SBS A120 21 9W RMS HOPARLÖR SİYAH,25,Bilgisayar > Bilgisayar Bileşenleri > Hoparlörler
55,149,http://www.vatanbilgisayar.com/g230-oyun-headset.html,G230 OYUN HEADSET 981-000540,212,Aksesuar Ürünleri > Kulaklık ve Mikrofon > Oyun Kulaklığı > LOGITECH
56,185,http://www.bedavacim.com.tr/Fakir-RF-09-9-Dilim-Radyator-Fakir-Garantili-_13996.html,Fakir RF-09 9 Dilim Radyatör (Fakir Garantili),227,Beyaz Eşya > Isıtıcı-Vantilatörler
57,35,http://www.vatanbilgisayar.com/fhc-2530s-25-sata-harddisk-kutusu-usb-30.html,"FRISBY FHC-2530S 2.5"" SATA HARDDISK KUTUSU USB 3.0",130,OEM Ürünleri > Harddisk Kutuları > 2.5 Diskler > FRISBY
58,604,http://www.ucuzlukcu.com/urunler/avermedia-live-gamer-portable-c875-uxpqs/,Avermedia Live Gamer Portable (C875),111,Bilgisayar > Çevre Birimleri
59,317,http://www.netsiparis.com/asus-memo-pad-me176cx-1b008a-tablet,ASUS Memo Pad ME176CX-1B008A Tablet,186,Bilgisayar > Bilgisayar-Dizüstü > Tabletler > Asus
60,34,http://www.netsiparis.com/hp-cn054a-murekkep-kartus-933xl,Hp CN054A Mürekkep Kartuş (933XL),20,Bilgisayar > Bilgisayar Parçaları > Tüketim Malzemeleri > Kartuşlar > Hp
61,69,http://www.vatanbilgisayar.com/logitech-z-150-1-1-speaker-white.html,LOGITECH Z-150 1+1 SPEAKER (WHITE),23,Çevre Birimleri > Hoparlör Speaker > 1+1 > LOGITECH
62,142,http://www.bilisimport.com/logitech-981-000540-g230-kafa-bantli-mikrofonlu-gaming-kulaklik,Logitech 981-000540 G230 Kafa Bantlı Mikrofonlu Gaming Kulaklık,212,OEM & Çevre Birimleri > Kulaklık & Mikrofon > Kulaklıklı Mikrofon
63,301,http://www.extraucuzluk.com/urun/airties-air5750-1600mbps-4port-kablsz-vdsl2adsl2_300431.aspx?CatId=196,AIRTIES AIR5750 1600Mbps 4PORT KABLSZ VDSL2ADSL2,76,Bilgisayar > Bilgisayar Bileşenleri > Ağ Ürünleri > ADSL Modemler
64,335,http://www.eksenbilgisayar.com/urun/asus-memo-pad-me176cx-1b008a-intel-atom-z3745-1gb-8gb-7-android-44-tablet.aspx,ASUS Memo Pad ME176CX-1B008A Intel Atom Z3745 1GB 8GB 7'' Android 4.4 Tablet,186,Bilgisayar > Taşınabilir Bilgisayarlar
65,20,http://www.gold.com.tr/s-link-slx-422-2m-dijital-optik-ses-kablosu_u,S-link SLX-422 2m Dijital Optik Ses Kablosu,214,Elektronik > Televizyon > TV Aksesuarları > Kablo - Sarf Malzemeler
66,56,http://www.webdenal.com/logitech-920-005789_609686.html,Mk240 Kablosuz Klavye Mouse 920-005789,179,Bilgisayar Ürünleri > Çevre Birimleri > Klavye Mouse Set
67,37,http://www.deveyuku.com/urun/altis-gb-75-pilates-topu_112823.aspx,Altis GB-75 Pilates Topu,168,Aksesuarlar > Resim > Altis > Altis GB-75 Pilates Topu
68,16,http://www.hizlial.com/pc-far-cry-3/10423904,PC FAR CRY 3,56,Oyun & Oyun Konsolu > Oyunlar > PC Oyunları
69,213,http://www.deveyuku.com/urun/185-philips-193v5lsb262-5ms-siyah-led-monitor_153927.aspx,18.5 PHILIPS 193V5LSB262 5MS SİYAH LED MONİTÖR,156,Monitörler > Resim > Philips > 18.5 PHILIPS 193V5LSB262 5MS SİYAH LED MONİTÖR
70,49,http://www.teknosa.com/urunler/125191372/logitech-910-004183-kablosuz-m317-beyaz-mouse,LOGITECH 910-004183 KABLOSUZ M317 BEYAZ MOUSE,55,BİLGİSAYAR > ÇEVRE BİRİMLERİ > MOUSE VE MOUSEPAD
71,99,http://www.gold.com.tr/nikon-mh-61-batarya-sarj-cihazi_u,Nikon MH-61 Batarya Şarj Cihazı,188,Foto&Kamera > Aksesuar > Li-On Batarya
72,1599,http://www.ereyon.com.tr/urun/samsung-galaxy-alpha.aspx,Samsung G850 Galaxy Alpha,9,Telefonlar > Akıllı Telefonlar
73,125,http://www.vatanbilgisayar.com/mp630_ip4600-renkli-kartus-paketi-sari-magenta-mavi.html,"MP630/IP4600 Renkli Kartuş Paketi (Sarı, Magenta, Mavi) CLI521 C-M-Y",190,Tüketim Malzemeleri > Kartuş > Etiket > CANON
74,253,http://www.aynigunkargo.com/fakir-rh-12-halojenli-yagli-radyator,Fakir RH 12 Halojenli Yağlı Radyatör,183,Elektronik / Tüketici Elektroniği > Isıtma Ve Soğutma > Radyatör > Yağlı Radyatör
75,547,http://www.webdenal.com/corsair-cc-9011063-ww_721687.html,Corsair Graphite 780t Cc-9011063-ww Siyah Full-tower Pencereli Kasa ( Psu Yok ),67,Bilgisayar Ürünleri > Bilgisayar Bileşenleri (OEM) > Kasa
76,19,http://www.teknosa.com/urunler/135070493/aral-dirt-2-pc-oyun,ARAL DIRT 2 PC OYUN,24,OYUN &AMP; HOBİ > OYUN & YAZILIM > PC
77,199,http://www.hizlial.com/goldmaster-rangerplus-hdusb-oynaticili-ethernet-girisli-pvr-dijital-uydu-alicisi/10001188,Goldmaster RANGERPlus HD/USB Oynatıcılı/ Ethernet Girişli PVR Dijital Uydu Alıcısı,53,Ev Elektroniği & TV > Ses & Görüntü Sistemleri > Uydu Alıcıları & Sistemleri > Uydu Alıcıları
78,170,http://www.deposhop.com/urun/pc-battlefield-4-premium-edition,PC BATTLEFIELD 4 PREMIUM EDITION,97,PC / Play Station Oyun > Oyun > PC
79,33,http://www.eksenbilgisayar.com/urun/cooler-master-notepal-d-lite-r9-nbc-dltk-gp-15-12-cm-fanli--notebook-sogutucu-.aspx,"COOLER MASTER Notepal D-Lıte (R9-NBC-DLTK-GP) 15"" 12 cm Fanlı Notebook Soğutucu",88,Aksesuar > Notebook Aksesuarları
80,55,"http://www.istanbulbilisim.com.tr/casio-dj-220d-masaustu-hesap-makinesi-fiyati,121863.html",Casio DJ-220D Masaüstü Hesap Makinesi,218,Hesap Makineleri > Casio
81,13,http://www.bilisimport.com/addison-hdd-130-mavi-2.5-hdd-kilifi,Addison HDD-130 Mavi 2.5 Hdd Kılıfı,4,Aksesuar & Sarf Malz. > Çantalar > HDD Çantaları
82,269,http://www.teknosa.com/urunler/119967145/nikon-coolpix-s2800-siyah-dijital-fotograf-makines,"NIKON COOLPIX S2800 SİYAH DİJİTAL FOTOĞRAF MAKİNESİ , NIKON COOLPIX L29 S2800 ÇANTA",117,FOTOĞRAF &AMP; VİDEO KAMERA > KOMPAKT FOTOĞRAF MAKİNESİ
83,37,http://www.teknolojiankara.com/Products-12511-everest-tk-5-42--55-lcd-led-slim-duvar-aski-aparati.html,EVEREST TK-5 42 - 55 LCD-LED SLIM Duvar Askı Aparatı,165,Ev Elektroniği > Televizyonlar > EVEREST
84,445,http://www.ereyon.com.tr/urun/panasonic-hc-v100-video-kamera.aspx,Panasonic HC-V100 Video Kamera (Panasonic Türkiye Garantili),107,Foto & Kamera > Video Kameralar
85,115,"http://www.mediamarkt.com.tr/mcs/product/HP-C4906A-940XL-Siyah-Kartuş,103452,504965,827325.html?langId=-14",HP C4906A 940XL Siyah Kartuş,172,Bilgisayar > Ofis Malzemeleri > Kartuşlar
86,193,http://www.eksenbilgisayar.com/store/ProductDetails.aspx?productid=101194,CANON CRG-731C Mavi Cyan Toner LBP660 LBP660NT LBP660AX 3150 5L 6L LBP460 LBP465,137,Tüketim Ürünleri > Sarf Malzemeler > Toner
87,1992,http://www.webdenal.com/apple-mgen2tu-a_732851.html,Mac Mini Mgen2tu/a I5-2.6 Ghz 8 Gb 1 Tb Mac Os X,29,PC / Monitör > Mini PC
88,27,"http://www.istanbulbilisim.com.tr/energizer-lcaehjackpk2-1-5m-3-5mm-jack-to-3-5mm-jack-pembe-ses-fiyati,141635.html",Energizer LCAEHJACKPK2 1.5m 3.5mm Jack to 3.5mm Jack Pembe Ses Kablosu,150,Antenler / Kablolar > Energizer
89,2129,http://www.gold.com.tr/seagate-stbn8000200-business-storage-8tb-2-bay-nas-depolama-unitesi_u,Seagate STBN8000200 Business Storage 8TB 2-Bay NAS Depolama Ünitesi,49,Bilgisayar > Veri Depolama > Çoklu Depolama Üniteleri Nas
90,226,http://www.webdenal.com/philips-203v5lsb26-62_592558.html,"19,5 203v5lsb26-62 Led Monitör 5ms Siyah",31,PC / Monitör > Monitör
91,39,http://www.vatanbilgisayar.com/tk6109-masaustu-telefon--metalik-gri_gumus.html,TK6109 MASAÜSTÜ TELEFON- (METALİK GRİ/GÜMÜŞ),81,Tüketici Elektroniği > Kablolu Telefonlar > Görüntülü > TTEC
92,552,http://www.deposhop.com/urun/gigabyte-z97x-gaming-5/ddr3-1600mhz-svgl16x,Gigabyte Z97X-Gaming 5/DDR3 1600MHz S+V+GL+16X,126,Bilgisayar Bileşenleri > Anakartlar
93,2699,http://www.vatanbilgisayar.com/nikon-d7000-vr-kit-18-105-vr-lens-162-mp-3-lcd-slr-dijital-fotograf-makinesi.html,"NIKON D7000 VR KIT (18-105 VR Lens) 16.2 MP 3"" LCD SLR DIJITAL FOTOGRAF MAKINESI",242,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital SLR > NIKON
94,127,http://www.bilisimport.com/zalman-cnps11x-performa-120mm-v-tipi-cift-isi-lga2011-cpu-fan,Zalman CNPS11X PERFORMA 120mm V-tipi Çift Isı LGA2011 CPU Fan,203,Aksesuar & Sarf Malz. > Fan > CPU Fanı
95,59,"http://www.mediamarkt.com.tr/mcs/product/AIRTIES-AIR-2411-300-mbps-Kablosuz-USB-Modem,103452,504954,829999.html?langId=-14",AIRTIES AIR 2411 300 mbps Kablosuz USB Modem,80,Bilgisayar > Bilgisayar Bileşenleri > Network Ürünleri
96,24,http://www.webdenal.com/thermaltake-st0034z_567536.html,"St0034z Harmor 3.5"" Kırmızı Hdd Koruyucu Kutu",230,Bilgisayar Ürünleri > Aksesuarlar > Harici Kutular
97,13,http://www.vatanbilgisayar.com/addison-25-sert-yuzey-hdd-kilifi-mavi.html,"ADDISON 2,5'' SERT YÜZEY HDD KILIFI (MAVİ) HDD-130 MAVI",4,Aksesuar Ürünleri > Çantalar ve Kılıflar > Disk Kılıfları > ADDISON
98,148,http://www.exa.com.tr/logitech/mikrofon_ve_kulaklik/logitech_g230-364-20842.html,Logitech G230 Kablolu Oyuncu Kulaklığı 981-000540,212,Çevre Birimleri > Mikrofon ve Kulaklık
99,80,http://www.hizlial.com/fsp-nb65-65w-notebook-universal-adaptor/10462864,Fsp NB65 65W Notebook Universal Adaptör,215,Bilgisayar > Bilgisayar Aksesuarlar > Notebook Güç Adaptörleri
100,293,http://www.bilisimport.com/nikon-coolpix-s2800b-com-20mp-5x-27-hd,"NIKON COOLPIX-S2800B COM 20MP 5X 2,7"" HD",117,Fotoğraf & Kamera > Compact Fotoğraf Makineleri
101,213,"http://www.istanbulbilisim.com.tr/hp-d4h22c-deskjet-avantajli-2645-faxli-cok-fonksiyonlu-inkjet-fiyati,73589.html",HP D4H22C DeskJet Avantajlı 2645 Faxlı Çok Fonksiyonlu Inkjet Yazıcı (A4),40,Mürekkep Püskürtmeli Yazıcı > HP
102,136,http://www.buroteknik.com/zalman-cnps11x-performa-intel-amd-cpu-soc49futucu_147917.html,Zalman CNPS11X Performa Intel/AMD CPU Soğutucu,203,Bilgisayar Tablet Yazıcı > Bilgisayar Bileşenleri > OverClock ve Soğutma
103,250,http://www.vatanbilgisayar.com/cn623ae-kirmizi-kartus-no971.html,CN623AE Kırmızı kartuş No:971,239,Tüketim Malzemeleri > Kartuş > HP
104,2317,http://www.ereyon.com.tr/urun/nikon-d7000-18-105mm.aspx,"Nikon D7000 16.2 Mp 3"" LCD 18-105mm VR Lens Dijital SLR Fotoğraf Makinesi",242,Foto & Kamera > Dijital SLR Fotoğraf Makineleri
105,1799,"http://www.mediamarkt.com.tr/mcs/product/SAMSUNG-G850-Galaxy-Alpha-32-GB-Beyaz-Akıllı-Telefon,103452,504172,1550405.html?langId=-14",SAMSUNG G850 Galaxy Alpha 32 GB Beyaz Akıllı Telefon,9,Telefon > Cep Telefonları > Akıllı Telefon
106,159,http://www.bimeks.com.tr/urun/129452/delonghi-icm-15250-filtre-kahve-makinesi.aspx,Delonghi ICM 15250 Filtre Kahve Makinesi,127,Ev Teknolojileri > Mutfak Aletleri > Çay ve Kahve Keyfi > Delonghi ICM 15250 Filtre Kahve Makinesi
107,706,http://www.webdenal.com/sony-hdr-cx240eb_718589.html,"Hdr-cx240eb Cmos 9.2mp 27xoz 2.7"" 29.8mm Cz 60p",19,Fotoğraf / Elektronik > Video Kamera
108,29,http://www.kliksa.com/urun/caselogic-ts110k-tablet-pc-kilifi-10-siyah/901899324,"CASELOGIC TS110K Tablet PC Kılıfı, 10 Siyah",229,Bilgisayar > Çevre Birimleri > Tablet Kılıfı
109,526,http://www.buroteknik.com/gigabyte-z97x-gaming-5-ddr3-1600mhz-s-v-gl-16x_145321.html,Gigabyte Z97X-Gaming 5-DDR3 1600MHz S+V+GL+16X,126,Bilgisayar Tablet Yazıcı > Bilgisayar Bileşenleri > Anakartlar
110,11,http://www.bimeks.com.tr/urun/121447/frisby-fcr-40p-tasinabilir-usb-2-0-kart-okuyucu.aspx,Frisby FCR-40P Taşınabilir USB 2.0 Kart Okuyucu,187,Bilgi Teknolojileri > Çevre Birimi > Kart Okuyucu > Frisby FCR-40P Taşınabilir USB 2.0 Kart Okuyucu
111,202,http://www.extraucuzluk.com/urun/hp-d4h22c-deskjet-2645-aio-yaztarfot-ink-adv_201323.aspx?CatId=229,HP D4H22C DESKJET 2645 AIO YAZTARFOT INK ADV,40,Bilgisayar > Çevre Birimleri > Yazıcılar > Mür. Püsk. Çok Fonk. Yazıcılar
112,31,http://www.vatanbilgisayar.com/slx-35a-35-dahili-kart-okuyucu.html,"S-LINK SLX-35A 3.5"" DAHİLİ KART OKUYUCU",235,Aksesuar Ürünleri > Kart Okuyucular > Dahili > S-LINK
