id,Product_Prices,Original_Crawled_URLs,Raw_Entire_Dataset,Product_Classes,Raw_Product_Categories
14,535,http://www.novabilgisayar.com/bilgi.asp?ID=8889,CORSAIR Force GS Serisi 2.5'' 240GB SATA III 555MB/525MB Ssd Disk CSSD-F240GBGS-BK,197,HARD DISK - SSD > CORSAIR > CSSD-F240GBGS-BK
15,32,http://www.hizlial.com/s-link-sl-hv56-hdmi-to-vga-cevirici/10458489,S-link SL-HV56 HDMI to VGA Çevirici,263,Bilgisayar > Bilgisayar Aksesuarlar > Kablolar
16,5578,http://www.teknolojiankara.com/Products-URUN2081874-samsung-ue-55hu7500-led-televizyon.html,Samsung UE-55HU7500 LED Televizyon,152,Ev Elektroniği > Televizyonlar > SAMSUNG
17,1392,http://www.dijitall.com/canon-eos-600d--18-55mm-dc-lens-4960999984094,CANON EOS 600D & 18-55MM DC LENS 4960999984094,260,Fotoğraf - Video > DSLR Fotoğraf Makinesi
18,1025,http://www.dijitall.com/samsung-galaxy-tab-s-t800-16-gb-wifi-tablet,"Samsung Galaxy Tab S T800 16GB 10.5"" WiFi Tablet",112,Bilgisayar > Tablet
19,1799,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-356639&Samsung-G850F-Galaxy-Alpha-Resmi-Distributor-Garantili,Samsung G850F Galaxy Alpha (Resmi Distribütör Garantili),9,Telefon >  Cep Telefonları >  Cep Telefonu & Smartphone >  Smartphone
20,31,"http://www.mediamarkt.com.tr/mcs/product/ALTIS-GB-75-75-cm-Pilates-Topu,103452,502932,1487105.html?langId=-14",ALTIS GB-75 75 cm Pilates Topu,168,Kişisel Bakım & Sağlık > Fitness & Kondisyon
21,607,http://www.buroteknik.com/samsung-ht-h4550r-speaker-3d-blu-ray-dvd-ses-sistemi_150127.html,Samsung HT-H4550R Speaker 3D Blu-Ray DVD Ses Sistemi,118,Elektronik Televizyon > Ev Sinema Sistemleri > Ev Sinema Hoparlörleri
22,323,http://www.teknolojiankara.com/Products-26738-microsoft-office-mac-home-student-2011-eng-box-gza-00277.html,Microsoft Office Mac Home Student 2011 Eng Box GZA-00277,64,Yazılım Ürünleri > Ticari Yazılımlar > Microsoft
23,24,"http://www.istanbulbilisim.com.tr/xigmatek-xaf-f1253-120-120-25mm-isikli-kasa-fani-fiyati,110063.html",Xigmatek XAF-F1253 120*120*25mm Işıklı Kasa Fanı,201,Soğutucu(Fan) > XİGMATEK
24,34,http://www.gold.com.tr/frisby-fhc-2530s-2-5inc-usb-3-0-sata-9-5mm-hdd-kutusu_u,Frisby FHC-2530S 2.5inc USB 3.0 SATA 9.5MM HDD Kutusu,130,Bilgisayar > Çevre Birimleri > Medya Kutusu
25,18,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-270353&SNOPY-SG-650-USB-SIYAH-JOYPAD,SNOPY SG-650 USB SİYAH JOYPAD,269,Hobi / Oyun Konsolu >  Oyun ve Oyun Konsolları >  Aksesuarlar >  PC Joystick / Gamepad
26,141,http://www.aynigunkargo.com/icm15250-filtre-kahve-makinesi,Delonghi ICM15250 Filtre Kahve Makinesi,127,Aynı Gün Kargoya Verilenler > Aynı Gün Kargoya Verilen Kahve Makineleri
27,1972,http://www.aynigunkargo.com/mac-mini-mgen2tu/a-ci5-2.6ghz-8gb-1tb-iris-wi-fi-os-x-yosemite,Mac Mini MGEN2TU/A CI5 2.6Ghz 8Gb 1Tb İris Wi-Fi OS X Yosemite,29,Bilgisayar > Masaüstü Bilgisayar
28,34,http://www.hizlial.com/energizer-15mt-hdmi-to-hdmi-kablo-lcaechaa15/10287578,Energizer 1.5mt HDMI to HDMI Kablo LCAECHAA15,281,Bilgisayar > Bilgisayar Aksesuarlar > Kablolar
29,14,http://www.gold.com.tr/s-link-slx-971-usb2-0-3m-altin-yazici_u,S-link Slx-971 Usb2.0 3m Altin Yazici,14,Bilgisayar > Bilgisayar Aksesuarları > Kablolar
30,114,http://www.bizdeuygun.com/BROTHER-MFJ-J6710DW-2400-SAYFA-SC4B0YAH-KARTUS_151104.html,BROTHER MFJ-J6710DW 2400 SAYFA SİYAH KARTUS,275,Bilgisayar > Yazıcı ve Sarf Malzemeleri > Kartuş ve Tonerler
31,78,http://www.bilisimport.com/energizer-lcaehusyippk2-lightning-usb-1m-pembe-data--sarj-kablosu,Energizer LCAEHUSYIPPK2 LIGHTNING Usb 1m Pembe Data + Şarj kablosu,270,Aksesuar & Sarf Malz. > Kablolar > USB Kabloları
32,699,http://www.teknosa.com/urunler/110100765/samsung-ht-h4550r-3d-bluray-ev-sinema-sistemi,SAMSUNG HT-H4550R 3D BLURAY EV SİNEMA SİSTEMİ,118,SES VE GÖRÜNTÜ > EV SİNEMA SİSTEMİ > BLU-RAY'Lİ
33,42,http://www.ereyon.com.tr/urun/logitech-m317-wireless-mouse.aspx,Logitech M317 Wireless Mouse,55,Bilgisayar > Çevre Birimleri > Klavye & Mouse > Mouse
34,221,http://www.incehesap.com/hp-2645-cok-islevli-fiyati-24362/,Hp D4H22C Deskjet 2645 All In One (Yazıcı/Tarayıcı/Fotokopi/Fax Ink Adv),40,Bilgisayar > Yazıcı > Çok İşlevli Yazıcı
35,969,"http://www.istanbulbilisim.com.tr/brother-mfc-9140cdn-faxli-cok-fonksiyonlu-renkli-lazer-yazici-fiyati,109097.html",Brother MFC-9140CDN Faxlı Çok Fonksiyonlu Renkli Lazer Yazıcı (A4),277,Lazer Yazıcı > BROTHER
36,79,http://www.teknosa.com/urunler/110011770/tec-supports-vento-m-10-32-tam-donus-kabiliyetli-d,TEC-SUPPORTS VENTO-M (10 -32 ) TAM DÖNÜŞ KABİLİYETLİ DUVAR ASKI APARATI,8,SES VE GÖRÜNTÜ > TELEVİZYONLAR > TV ASKI APARATLARI
37,1150,http://www.sanalreyonum.com/bilgisayar/yazicilar/canon-mf6140dn-lazer-yazicitarfotfax-a4.html,Canon MF6140DN Lazer Yazıcı/Tar/Fot/Fax - A4,18,
38,195,http://www.enhesapliyiz.com/fakir-rf-09-turbo-yagli-radyator,FAKİR RF-09 TURBO YAĞLI RADYATÖR,227,Isıtma ve Sogutma > yağlı radyatör
39,169,http://www.gold.com.tr/dragon-age-inquisition-ps3-oyun_u,Dragon Age Inquisition PS3 Oyun,21,Oyun - Hobi > Oyun > Oyunlar
40,215,"http://www.mediamarkt.com.tr/mcs/product/SEAGATE-STDR1000201-2-5-inç-USB-3.0-1-TB-Backup-Plus-Taşınabilir-Disk-Gümüş,103452,504973,1229129.html?langId=-14","SEAGATE STDR1000201 2,5 inç USB 3.0 1 TB Backup Plus Taşınabilir Disk Gümüş",116,Bilgisayar > Hafıza & Depolama Ürünleri > Harici Diskler
41,919,http://www.teknolojiankara.com/Products-27105-samsung-t800-190ghz-3gb-16gb-105-distribitor-beyaz.html,Samsung T800 1.90GHz 3GB 16GB 10.5 Distribitör Beyaz,112,Kişisel Bilgisayarlar > Taşınabilir Bilgisayarlar > Samsung
42,62,http://www.buroteknik.com/oki-5720-5790-microline-5720-5790-modelleri-icin-siyah-serit-44173405_13227.html,Oki ML-5720 ML-5790 Siyah Şerit (44173405),105,Toner Kartuş Şerit > Şerit
43,232,"http://www.mediamarkt.com.tr/mcs/product/HP-CN623AE-971-Magenta-Kartuş,103452,504977,1371871.html?langId=-14",HP CN623AE 971 Magenta Kartuş,239,Bilgisayar > Hafıza & Depolama Ürünleri > Disk Kutuları
44,478,http://www.buroteknik.com/asus-dsl-ac68u-ac1900-1900mbit-adsl-vdsl-fiber-destekli-gigabit-modem-router_147294.html,"ASUS DSL-AC68U, AC1900, 1900Mbit, ADSL-VDSL-FIBER Destekli Gigabit Modem Router",142,Bilgisayar Tablet Yazıcı > Modemler ve Ağ Ürünleri > Modemler
45,168,https://www.tuslagelsin.com/index.php?route=product/product&product_id=424,Zalman CNPS11X Performa Intel/AMD CPU Soğutucu,203,Zalman CNPS11X Performa Intel/AMD CPU Soğutucu
46,24,http://www.teknobiyotik.com/donanim/overclock/zalman-cnps11x-performa-lga-2011-1366-1155-1156-775-am3-am3-am2-islemci-uyumlu-cpu-sogutucu.html,Zalman CNPS11X Performa LGA 2011/1366/1155/1156/775 / AM3+/AM3/AM2 İşlemci Uyumlu CPU Soğutucu,203,Overclock
47,299,"http://www.mediamarkt.com.tr/mcs/product/FAKIR-RH-12-2800W-12-Dilim-Halojenli-Yağlı-Radyatör,103452,465756,1500687.html?langId=-14",FAKIR RH 12 2800W 12 Dilim Halojenli Yağlı Radyatör,183,Ev Aletleri & Yaşam > Isıtma & Soğutma > Infrared Isıtıcılar
48,189,http://www.bedavacim.com.tr/PHILIPS-18-5-193V5LSB2-62-5MS-GENC4B0C59E-SC4B0YAH-LED-MONC4B0TC396R_18158.html,"PHILIPS 18.5"" 193V5LSB2/62 5MS GENİŞ SİYAH LED MONİTÖR",156,Bilgisayar > Cevre Birimleri > Monitörler
49,28,http://www.bedavacim.com.tr/FRISBY-FHC-2530S-2-5-USB3-0-SATA-9-5MM-HDD-KUTUSU_18018.html,"FRISBY FHC-2530S 2.5"" USB3.0 SATA 9.5MM HDD KUTUSU",130,Bilgisayar > Cevre Birimleri > Hdd/Dvd Kasaları
50,169,http://www.kliksa.com/urun/delonghi-icm-15250-filtre-kahve-makinesi/980003004,DELONGHI ICM 15250 FİLTRE KAHVE MAKİNESİ,127,Elektrikli Ev Aletleri > Çay & Kahve Makinesi > Kahve Makinesi
51,305,http://www.worldteknoloji.com/Products-25829-asus-tablet-me176cx-1b008a-atom-z3745-186-ghz-1gb-8gb-7-ips-lcd-blt-roid-44-cift-cam-beyaz.html,ASUS Tablet ME176CX 1B008A Atom Z3745 1.86 GHz 1GB 8GB 7 IPS Lcd Blt Android 4.4 Çift Cam Beyaz,186,Bilgisayarlar > Taşınabilir Bilgisayarlar > ASUS
52,129,http://www.bizdehesapli.com/corsair-cmv4gx3m1a1333c9-4gb-1333mhz-ddr3-cl9-value-tek-modul-memory-urun-CMV4GX3M1A1333C9,"CORSAIR CMV4GX3M1A1333C9 4GB, 1333Mhz, DDR3 CL9 Value Tek Modül Memory",94,"Bilgisayar > Bilgisayar Bileşenleri > Ram Bellekler > CORSAIR CMV4GX3M1A1333C9 4GB, 1333Mhz, DDR3 CL9 Value Tek Modül Memory"
53,1799,http://www.buroteknik.com/en-ucuz-lg-42lb670v-42-inc-3d-led-tv-fiyati-ozellikleri_149019.html,"LG 42LB670V 42"" 3D 700 Hz Cinema 3D Smart TV WiFi Led Televizyon",70,Elektronik Televizyon > Televizyon > LED Televizyon
54,32,http://www.dijitall.com/store/ProductDetails.aspx?productid=225897,"BROTHER DCP-135C,150C MFC-235C,260C-300 SAYFA MAVI KARTUŞ LC-37C",54,"Bilgisayar > Baskı, Printer, Fax > Mürekkep Püskürtmeli"
55,82,"http://www.mediamarkt.com.tr/mcs/product/TARGUS-Click-In-iPad-Air-Kılıf-THD03805EU,103452,504127,1084049.html?langId=-14",TARGUS Click In iPad Air Kılıf THD03805EU,234,Tabletler > Tablet Aksesuarları > Apple Çanta & Korumalar
56,39,http://www.dijitall.com/roadstar-rdh-654-oto-hoparlor,RoadStar RDH654 Oto Hoparlör,226,Araba ve Motor > Ses Sistemleri > Oto Hoparlör
57,24,http://www.ereyon.com.tr/store/ProductDetails.aspx?productid=10551239,PC HARRY POTTER AND THE DEATHLY HALLOWS PART 2,109,Hobi & Oyun Konsolları > Oyun&Oyun Konsolu > Bilgisayar Oyunları
58,297,http://www.webdenal.com/nikon-s2800b_703519.html,"Coolpıx-s2800b 20mp 5x Optik 2.7"" Lcd 720p Dijital Kompakt Siyah",117,Fotoğraf / Elektronik > Dijital Fotoğraf Makinesi
59,2139,http://www.teknolojiankara.com/Products-URUN2081869-samsung-ue-40h7000-led-televizyon.html,Samsung UE-40H7000 LED Televizyon,211,Ev Elektroniği > Televizyonlar > SAMSUNG
60,214,"http://www.nasabilgisayar.com/185-PHILIPS-193V5LSB262-LED-5MS-SIYAH-D-SUB,PR-6843467.html",18.5 PHILIPS 193V5LSB2/62 LED 5MS SİYAH D-SUB,156,Bilgisayar Bileşenleri > Monitörler
61,65,http://www.worldteknoloji.com/Products-9984-creative-sbs-a120-21-9w-rms-siyah-hoparlor.html,CREATIVE SBS-A120 2+1 9W RMS Siyah Hoparlör,25,Bilgisayar Bileşenleri > Hoparlör > CREATIVE
62,223,http://www.ereyon.com.tr/urun/samsung-s19c150f.aspx,"Samsung S19C150F 18.5"" 5ms 1366x768 Siyah Led Monitör",272,Bilgisayar > Çevre Birimleri > Monitörler
63,129,http://www.vatanbilgisayar.com/clpm315-magenta-toner-clp315.html,CLPM315 Magenta Toner CLP315,175,Tüketim Malzemeleri > Toner > SAMSUNG
64,102,http://www.webdenal.com/canon-2934b010-cli-521cmy-murekkep-kartus-set_242394.html,2934b010 Clı-521cmy Murekkep Kartus Set,190,Bilgisayar Ürünleri > Tüketim Malzemeleri > Kartuş
65,41,http://www.incehesap.com/microsoft-3000-fiyati-14047/,MS Notebook Optik Mouse 3000 USB V2 (2EF-00003),133,Bilgisayar > Çevre Birimleri > Mouse
66,154,http://www.telepanya.com/asp/product/90873/Cooler-Master-RC-NSE-200-KKN1-Kasa,Cooler Master RC-NSE-200-KKN1 Kasa,104,Bilgisayarlar > Bilgisayar Bileşenleri > Kasalar & Fanlar > Kasalar > null
67,71,http://www.deveyuku.com/urun/creative-sbs-a120-21-9w-rms-hoparlor-siyah_153127.aspx,CREATIVE SBS A120 21 9W RMS HOPARLÖR SİYAH,25,Bilgisayar Bileşenleri > Resim > Creative > CREATIVE SBS A120 21 9W RMS HOPARLÖR SİYAH
68,2312,http://www.aynigunkargo.com/nikon-d7000-18-105-vr-kit,Nikon D7000 18-105 VR KİT,242,Elektronik / Tüketici Elektroniği > Kameralar / Fotoğraf Makineleri > Dijital Fotoğraf Makineleri
69,1662,http://www.extraucuzluk.com/urun/sony-xperia-z2-beyaz-cep-telefonu_228237.aspx?CatId=254,SONY XPERIA Z2 BEYAZ CEP TELEFONU,93,Telefon > Cep Telefonları
70,51,http://www.webdenal.com/hp-c8721ee_630132.html,C8721e Siyah Mürekkep Kartuş (363),98,Bilgisayar Ürünleri > Tüketim Malzemeleri > Kartuş
71,75,"http://www.mediamarkt.com.tr/mcs/product/FSP-NB65-65-W-Universal-Notebook-Şarj-Adaptörü,103452,504953,872985.html?langId=-14",FSP NB65 65 W Universal Notebook Şarj Adaptörü,215,Bilgisayar > Bilgisayar Bileşenleri > Notebook Şarj Aletleri
72,228,http://www.buroteknik.com/xerox-106r01476_11999.html,Xerox 106R01476 Phaser 6121MFP Siyah Toner (2600 Sayfa),68,Toner Kartuş Şerit > Toner
73,201,http://www.buroteknik.com/seagate-2-5-1tb-backup-plus-usb-3-0-siyah_116022.html,"Seagate 2.5"" 1TB Backup Plus Slim USB 3.0 Siyah Taşınabilir Harici Harddisk - STDR1000200",116,Bilgisayar Tablet Yazıcı > Veri Depolama / Yedekleme > Taşınabilir Diskler
74,194,http://www.webdenal.com/hp-cn623a_618852.html,Cn623a Mürekkep Kartuş (971),239,Bilgisayar Ürünleri > Tüketim Malzemeleri > Kartuş
75,49,http://www.hizlial.com/logitech-mk240-wireless-desktop-siyah-klavye-mouse-set-920-005789/10288045,Logitech MK240 Wireless Desktop Siyah Klavye Mouse Set (920-005789),179,Bilgisayar > Çevre Birimleri > Klavye Mouse Setler
76,972,"http://www.nasabilgisayar.com/Samsung-T800-Galaxy-Tab-S-105-1913-Ghz-3-Gb-Ram-16Gb-Disk-Cam-And4,PR-7451079.html","Samsung T800 Galaxy Tab S 10,5 1.9+1,3 Ghz 3 Gb Ram 16Gb Disk Cam And.4",112,Kişisel Bilgisayarlar > Tablet Bilgisayarlar
77,1736,http://www.pcdepo.com/toshiba-satellite-w30dt-a-104-tablet-pc,Toshiba Satellite W30DT-A-104 Tablet PC,171,Toshiba Satellite W30DT-A-104 Tablet PC
78,2890,http://www.alalimbakalim.com/apple-iphone-6-plus-16gb-cep-telefonu.html,Apple iPhone 6 Plus 16GB Cep Telefonu,48,
79,3581,https://www.tuslagelsin.com/index.php?route=product/product&product_id=434,Iphone 6 Plus 16GB Gümüş - Apple Türkiye Garantili,48,Iphone 6 Plus 16GB Gümüş - Apple Türkiye Garantili
80,2751,http://www.trdukkan.com/Products-27155-apple-iphone-6-plus-bar-space-gray-8mp-55--16gb-distributor.html,Apple İphone 6 Plus Bar Space Gray 8mp 5.5 16Gb Distribütör,48,Cep Telefonları > Apple
81,2,http://www.bedavacim.com.tr/FRISBY-FCR-40P-USB-2-0-ALL-IN-ONE-KART-OKUYUCU_18272.html,FRISBY FCR-40P USB 2.0 ALL IN ONE KART OKUYUCU,187,Fotoğraf-Kamera > Fotoğraf Makinesi Aksesuarları > Hafıza Kartları
82,293,http://www.kliksa.com/urun/creative-sound-blaster-evo-usb/901941231,Creative Sound Blaster Evo Usb,282,Bilgisayar > Kulaklık ve MP3 Çalar > Kulaklık
83,2841,http://www.bilisimport.com/apple-iphone-16gb-6p-gry-8mp-kamera-bluetooth-wifi-gps-4g-iphone-6-plus-16gb-gri,APPLE IPHONE-16GB-6P-GRY 8MP KAMERA BLUETOOTH WIFI GPS 4G IPHONE 6 PLUS 16GB GRI,48,Telefon > Cep Telefonları
84,2999,http://www.vatanbilgisayar.com/ek-gn100-galaxy-nx-fotograf-makinesi.html,SAMSUNG EK-GN100 GALAXY NX FOTOĞRAF MAKİNESİ,42,Tüketici Elektroniği > Fotoğraf Makinesi > Dijital Kompakt > SAMSUNG
85,27,http://www.dijitall.com/mikado-tf-kartfm-destekli-bluetooth-sarjli-speaker-md-10bt-m,MIKADO TF Kart+FM Destekli Bluetooth Şarjlı Speaker MD-10BT-M,7,Bilgisayar > Hoparlörler
86,504,"http://www.istanbulbilisim.com.tr/tefal-gv8930-pro-express-6-bar-buhar-basincli-autoclean-taban-fiyati,72250.html",Tefal GV8930 Pro Express 6 Bar Buhar Basınçlı Autoclean Taban Buhar Kazanlı Ütü,178,Ütü > TEFAL
87,1620,http://www.aksarayiletisim.com/Sony-Xperia-Z2-D6503-Distributor-Garantili_579.html,Sony Xperia Z2 D6503 Distribütör Garantili,93,SONY
88,19,"http://www.mediamarkt.com.tr/mcs/product/ARAL-Far-Cry-3-PC,103452,465882,1023303.html?langId=-14",ARAL Far Cry 3 PC,56,Oyun & Hobi > Oyunlar > PC Oyunları
89,1041,http://www.netsiparis.com/canon-i-sensys-mf6140dn-yazici-tarayici-fotokopi-faks,Canon i-Sensys MF6140dn Yazıcı Tarayıcı Fotokopi Faks,18,Bilgisayar > Bilgisayar Parçaları > Yazıcı / Tarayıcı > Çok Fonksiyonlu > Canon
90,1999,http://www.kliksa.com/urun/lg-42lb670v-dvb-s2t2c-3d-fhd-smart-led-tv-2-gozluk/902048747,LG 42LB670V DVB-S2/T2/C 3D FHD SMART LED TV+2 Gözlük,70,TV & Görüntü Sistemleri > Televizyon
91,169,http://www.teknosa.com/urunler/125087088/aral-battlefield-4-premium-edition-pc-oyun,ARAL BATTLEFIELD 4 PREMIUM EDITION PC OYUN,97,OYUN &AMP; HOBİ > OYUN & YAZILIM > PC
92,59,http://www.trdukkan.com/Products-22510-logitech-mk240-q-kablosuz-usb-siyah-lacivert-multimedya-klavye-mouse-set-920-005789.html,Logitech MK240 Q Kablosuz Usb Siyah/Lacivert Multimedya Klavye/Mouse Set 920-005789,179,Bilgisayar Bileşenleri > Klavye / Mouse Setleri > Logitech
93,509,http://www.hizlial.com/asus-dsl-ac68u-cift-bant-kablosuz-ac1900-gigabit-adslvdsl-modem-router/10393093,Asus DSL-AC68U Çift Bant Kablosuz-AC1900 Gigabit ADSL/VDSL Modem Router,142,Bilgisayar > Ağ Ürünleri & Modemler > Modemler
94,1499,http://www.teknosa.com/urunler/135176050/canon-eos-600d-18-55mm-dc-kit-dijital-fotograf-mak,CANON EOS 600D + 18-55MM DC KİT DİJİTAL FOTOĞRAF MAKİNESİ,260,FOTOĞRAF &AMP; VİDEO KAMERA > DİJİTAL SLR FOTOĞRAF MAKİNESİ
95,2799,http://www.vatanbilgisayar.com/iphone-6-plus-16-gb-akilli-telefon-space-gray.html,IPHONE 6 PLUS 16 GB AKILLI TELEFON (SPACE GRAY),48,Tüketici Elektroniği > Cep Telefonu > Akıllı Telefon > APPLE
96,365,http://www.dijitall.com/airties-mod-wrl-airtes-1600mbps-11ac-adsl2/vdsl-air-5750,AIRTIES MOD WRL AIRTES 1600MBPS 11AC ADSL2+/VDSL AIR-5750,76,Bilgisayar > Wireless & Ağ Ürünleri
97,2799,http://www.teknosa.com/urunler/135175654/nikon-d7000-18-105mm-vr-kit-dijital-fotograf-makin,NIKON D7000 18-105MM VR KIT DİJİTAL FOTOĞRAF MAKİNESİ,242,FOTOĞRAF &AMP; VİDEO KAMERA > DİJİTAL SLR FOTOĞRAF MAKİNESİ
98,147,https://www.yuppigo.com/Hangars/HangarsDetay.aspx?Xmlluckys=ypg-356929&PC-BATTLEFIELD-4-PREMIUM-EDITION-FPS-,PC BATTLEFIELD 4 PREMIUM EDITION ( FPS ),97,Hobi / Oyun Konsolu >  Oyun ve Oyun Konsolları >  Oyunlar >  Bilgisayar Oyunları >  Macera-Aksiyon
99,129,"http://www.mediamarkt.com.tr/mcs/product/PIONEER-TS-G132CI-13-cm-Ayrıştırılmış-2-Yollu-250-W-Hoparlör-Sistemi,103452,502991,1327009.html?langId=-14",PIONEER TS G132CI 13 cm Ayrıştırılmış 2 Yollu 250 W Hoparlör Sistemi,83,Tv & Ses > Oto Ses Sistemleri > Hoparlör
100,343,http://www.ereyon.com.tr/urun/microsoft-gza-00277-office-mac-home-student-2011.aspx,Microsoft Office 2011 Home Student Mac İngilizce Kutu / GZA-00277,64,Bilgisayar > Yazılım Ürünleri > Ofis Yazılımları
101,36,http://www.vatanbilgisayar.com/pure-s-galaxy-s3-kilif--parlak-beyaz.html,PURE-S GALAXY S3 KILIF- (PARLAK BEYAZ),27,Aksesuar Ürünleri > Çantalar ve Kılıflar > Telefon Kılıfları > GGMM
102,1219,http://www.vatanbilgisayar.com/sapphire-r9-290x-tri-x-edition-gddr5-4gb-512bit-amd-radeon-dx-112-ekran-karti.html,Sapphire R9 290X TRI-X Edition GDDR5 4GB 512Bit AMD Radeon DX 11.2 Ekran Kartı 11226-03-40G,223,OEM Ürünleri > Ekran Kartları > AMD > SAPPHIRE
103,243,"http://www.nasabilgisayar.com/HP-A4-Renkli-2645-D4H22C-Deskjet-Yazici-Tarayici-Fotokopi-Fax-204sayfa-1000sayfa-USB-20,PR-7424199.html",HP A4 Renkli 2645 D4H22C Deskjet Yazıcı Tarayıcı Fotokopi Fax 20/4sayfa 1.000sayfa USB 2.0,40,Baskı Ürünleri > Yazıcılar > Mürekkep Püskürtmeli Yazıcılar
104,239,http://www.worldteknoloji.com/Products-17998-corsair-8gb-1600mhz-ddr3-sogutuculu-cl9-pc-ram-cmz8gx3m1a1600c9.html,CORSAIR 8GB 1600Mhz DDR3 Soğutuculu CL9 Pc Ram CMZ8GX3M1A1600C9,228,Bilgisayar Bileşenleri > Bellekler > CORSAIR
105,2299,http://www.vatanbilgisayar.com/samsung-ue40h7000-40102-cm-3d-smart-led-tv-dahili-hd-uydu-wif-cift-tuner.html,"SAMSUNG UE40H7000 40""(102 CM) 3D SMART LED TV DAHILI HD UYDU WIF ÇIFT TUNER UE40H7000ALXTK",211,Tüketici Elektroniği > Televizyon > 3D LED > SAMSUNG
106,1115,http://www.hizlial.com/canon-i-sensys-mf6140dn-faks-fotokopi-tarayici-lazer-yazici/10426737,Canon i-Sensys MF6140dn Faks + Fotokopi + Tarayıcı Lazer Yazıcı,18,Bilgisayar > Yazıcı & Sarf Malzemeleri > Yazıcılar > Lazer
107,727,http://www.exa.com.tr/samsung/yazici_cesitleri/samsung_slc460w-345-23532.html,Samsung SL-C460W Wi-Fi Renkli Lazer Fot/Tar/Yaz-A4,244,Yazıcı > Yazıcı Çeşitleri
108,39,http://www.teknosa.com/urunler/125191000/microsoft-2ef-00003-3000-v2-kablosuz-mobil-mouse,MICROSOFT 2EF-00003 3000 V2 KABLOSUZ MOBİL MOUSE,133,BİLGİSAYAR > ÇEVRE BİRİMLERİ > MOUSE VE MOUSEPAD
